,timestep,Chord_vector,Chord_label
0,0.0,"[5, 5, 4, 4]",F:sus2
1,0.0929,"[5, 5, 4, 4]",F:sus2
2,0.1858,"[5, 5, 4, 4]",F:sus2
3,0.2786,"[5, 5, 4, 4]",F:sus2
4,0.3715,"[5, 5, 4, 4]",F:sus2
5,0.4644,"[5, 5, 4, 4]",F:sus2
6,0.5573,"[5, 5, 4, 4]",F:sus2
7,0.6502,"[5, 5, 4, 4]",F:sus2
8,0.743,"[10, 5, 4, 4]",A#:sus2/5
9,0.8359,"[10, 5, 4, 4]",A#:sus2/5
10,0.9288,"[10, 5, 4, 4]",A#:sus2/5
11,1.0217,"[10, 10, 4, 4]",A#:sus2
12,1.1146,"[10, 10, 4, 4]",A#:sus2
13,1.2074,"[10, 10, 4, 4]",A#:sus2
14,1.3003,"[10, 10, 4, 4]",A#:sus2
15,1.3932,"[10, 10, 4, 4]",A#:sus2
16,1.4861,"[10, 10, 4, 4]",A#:sus2
17,1.579,"[10, 10, 4, 4]",A#:sus2
18,1.6718,"[10, 10, 4, 4]",A#:sus2
19,1.7647,"[10, 10, 4, 4]",A#:sus2
20,1.8576,"[10, 10, 4, 4]",A#:sus2
21,1.9505,"[10, 10, 4, 4]",A#:sus2
22,2.0434,"[10, 10, 4, 4]",A#:sus2
23,2.1362,"[10, 10, 4, 4]",A#:sus2
24,2.2291,"[10, 10, 4, 4]",A#:sus2
25,2.322,"[10, 10, 4, 4]",A#:sus2
26,2.4149,"[10, 10, 4, 4]",A#:sus2
27,2.5078,"[10, 10, 4, 4]",A#:sus2
28,2.6006,"[10, 10, 4, 4]",A#:sus2
29,2.6935,"[10, 10, 4, 4]",A#:sus2
30,2.7864,"[10, 10, 4, 4]",A#:sus2
31,2.8793,"[10, 10, 4, 4]",A#:sus2
32,2.9722,"[10, 10, 4, 4]",A#:sus2
33,3.065,"[10, 10, 4, 4]",A#:sus2
34,3.1579,"[10, 10, 4, 4]",A#:sus2
35,3.2508,"[10, 10, 4, 4]",A#:sus2
36,3.3437,"[10, 10, 4, 4]",A#:sus2
37,3.4366,"[10, 10, 4, 4]",A#:sus2
38,3.5294,"[10, 10, 4, 4]",A#:sus2
39,3.6223,"[10, 10, 4, 4]",A#:sus2
40,3.7152,"[10, 10, 4, 4]",A#:sus2
41,3.8081,"[10, 10, 4, 4]",A#:sus2
42,3.901,"[10, 10, 4, 4]",A#:sus2
43,3.9938,"[10, 10, 4, 4]",A#:sus2
44,4.0867,"[10, 10, 4, 4]",A#:sus2
45,4.1796,"[10, 10, 4, 4]",A#:sus2
46,4.2725,"[10, 10, 4, 4]",A#:sus2
47,4.3654,"[10, 10, 4, 4]",A#:sus2
48,4.4582,"[10, 10, 4, 4]",A#:sus2
49,4.5511,"[10, 10, 4, 4]",A#:sus2
50,4.644,"[10, 10, 4, 4]",A#:sus2
51,4.7369,"[10, 10, 4, 4]",A#:sus2
52,4.8298,"[10, 10, 4, 4]",A#:sus2
53,4.9226,"[10, 10, 4, 4]",A#:sus2
54,5.0155,"[10, 10, 4, 4]",A#:sus2
55,5.1084,"[10, 10, 4, 4]",A#:sus2
56,5.2013,"[10, 10, 4, 4]",A#:sus2
57,5.2941,"[10, 10, 4, 4]",A#:sus2
58,5.387,"[10, 10, 4, 4]",A#:sus2
59,5.4799,"[10, 10, 4, 4]",A#:sus2
60,5.5728,"[10, 10, 4, 4]",A#:sus2
61,5.6657,"[10, 10, 4, 4]",A#:sus2
62,5.7585,"[10, 10, 4, 4]",A#:sus2
63,5.8514,"[10, 10, 4, 4]",A#:sus2
64,5.9443,"[10, 10, 4, 4]",A#:sus2
65,6.0372,"[10, 10, 4, 4]",A#:sus2
66,6.1301,"[10, 10, 0, 4]",A#:maj
67,6.2229,"[10, 10, 0, 4]",A#:maj
68,6.3158,"[10, 10, 5, 4]",A#:sus4
69,6.4087,"[10, 10, 5, 4]",A#:sus4
70,6.5016,"[10, 10, 5, 4]",A#:sus4
71,6.5945,"[10, 10, 5, 4]",A#:sus4
72,6.6873,"[10, 10, 5, 4]",A#:sus4
73,6.7802,"[5, 10, 5, 4]",N
74,6.8731,"[5, 5, 5, 4]",F:sus4
75,6.966,"[5, 5, 5, 4]",F:sus4
76,7.0589,"[5, 5, 5, 4]",F:sus4
77,7.1517,"[5, 5, 5, 4]",F:sus4
78,7.2446,"[5, 5, 5, 4]",F:sus4
79,7.3375,"[5, 5, 5, 4]",F:sus4
80,7.4304,"[5, 5, 5, 4]",F:sus4
81,7.5233,"[5, 5, 5, 4]",F:sus4
82,7.6161,"[5, 5, 5, 4]",F:sus4
83,7.709,"[5, 5, 5, 4]",F:sus4
84,7.8019,"[5, 5, 5, 4]",F:sus4
85,7.8948,"[5, 5, 5, 4]",F:sus4
86,7.9877,"[5, 5, 5, 4]",F:sus4
87,8.0805,"[5, 5, 5, 4]",F:sus4
88,8.1734,"[5, 5, 5, 4]",F:sus4
89,8.2663,"[5, 5, 5, 4]",F:sus4
90,8.3592,"[5, 5, 5, 4]",F:sus4
91,8.4521,"[5, 5, 5, 4]",F:sus4
92,8.5449,"[5, 5, 5, 4]",F:sus4
93,8.6378,"[5, 5, 5, 4]",F:sus4
94,8.7307,"[5, 5, 5, 4]",F:sus4
95,8.8236,"[5, 5, 5, 4]",F:sus4
96,8.9165,"[5, 5, 5, 4]",F:sus4
97,9.0093,"[5, 5, 0, 4]",F:maj
98,9.1022,"[5, 5, 0, 4]",F:maj
99,9.1951,"[5, 5, 0, 4]",F:maj
100,9.288,"[5, 5, 0, 4]",F:maj
101,9.3809,"[5, 5, 0, 4]",F:maj
102,9.4737,"[5, 5, 0, 4]",F:maj
103,9.5666,"[5, 5, 0, 4]",F:maj
104,9.6595,"[5, 5, 0, 4]",F:maj
105,9.7524,"[5, 5, 0, 4]",F:maj
106,9.8453,"[5, 5, 0, 4]",F:maj
107,9.9381,"[5, 5, 0, 4]",F:maj
108,10.031,"[5, 5, 0, 4]",F:maj
109,10.1239,"[5, 5, 0, 4]",F:maj
110,10.2168,"[5, 5, 0, 4]",F:maj
111,10.3097,"[5, 5, 0, 4]",F:maj
112,10.4025,"[5, 5, 0, 4]",F:maj
113,10.4954,"[5, 5, 0, 4]",F:maj
114,10.5883,"[5, 5, 0, 4]",F:maj
115,10.6812,"[5, 5, 0, 4]",F:maj
116,10.7741,"[5, 5, 0, 4]",F:maj
117,10.8669,"[5, 5, 0, 4]",F:maj
118,10.9598,"[5, 5, 0, 4]",F:maj
119,11.0527,"[5, 5, 0, 4]",F:maj
120,11.1456,"[5, 5, 0, 4]",F:maj
121,11.2385,"[5, 5, 0, 4]",F:maj
122,11.3313,"[5, 5, 0, 4]",F:maj
123,11.4242,"[5, 5, 0, 4]",F:maj
124,11.5171,"[5, 5, 0, 4]",F:maj
125,11.61,"[5, 5, 0, 4]",F:maj
126,11.7029,"[5, 5, 0, 4]",F:maj
127,11.7957,"[5, 5, 0, 4]",F:maj
128,11.8886,"[5, 5, 0, 4]",F:maj
129,11.9815,"[5, 5, 0, 4]",F:maj
130,12.0744,"[5, 5, 0, 4]",F:maj
131,12.1673,"[5, 5, 0, 4]",F:maj
132,12.2601,"[5, 5, 0, 4]",F:maj
133,12.353,"[5, 5, 0, 4]",F:maj
134,12.4459,"[5, 5, 0, 4]",F:maj
135,12.5388,"[5, 5, 0, 4]",F:maj
136,12.6317,"[5, 5, 0, 4]",F:maj
137,12.7245,"[5, 5, 0, 4]",F:maj
138,12.8174,"[5, 5, 0, 4]",F:maj
139,12.9103,"[5, 5, 0, 4]",F:maj
140,13.0032,"[5, 5, 0, 4]",F:maj
141,13.0961,"[5, 5, 0, 4]",F:maj
142,13.1889,"[5, 5, 0, 4]",F:maj
143,13.2818,"[5, 5, 0, 4]",F:maj
144,13.3747,"[5, 5, 0, 4]",F:maj
145,13.4676,"[5, 5, 0, 4]",F:maj
146,13.5605,"[5, 5, 0, 4]",F:maj
147,13.6533,"[5, 5, 0, 4]",F:maj
148,13.7462,"[5, 5, 0, 4]",F:maj
149,13.8391,"[5, 5, 0, 4]",F:maj
150,13.932,"[5, 5, 0, 4]",F:maj
151,14.0249,"[5, 5, 0, 4]",F:maj
152,14.1177,"[5, 5, 0, 4]",F:maj
153,14.2106,"[5, 5, 0, 4]",F:maj
154,14.3035,"[5, 5, 0, 4]",F:maj
155,14.3964,"[5, 5, 0, 4]",F:maj
156,14.4893,"[5, 5, 0, 4]",F:maj
157,14.5821,"[5, 5, 0, 4]",F:maj
158,14.675,"[5, 5, 0, 4]",F:maj
159,14.7679,"[5, 5, 0, 4]",F:maj
160,14.8608,"[5, 5, 0, 4]",F:maj
161,14.9537,"[5, 5, 0, 4]",F:maj
162,15.0465,"[5, 5, 0, 4]",F:maj
163,15.1394,"[5, 5, 0, 4]",F:maj
164,15.2323,"[5, 5, 0, 4]",F:maj
165,15.3252,"[10, 5, 0, 4]",A#:maj/5
166,15.418,"[10, 5, 0, 4]",A#:maj/5
167,15.5109,"[10, 5, 0, 4]",A#:maj/5
168,15.6038,"[10, 5, 4, 4]",A#:sus2/5
169,15.6967,"[10, 10, 4, 4]",A#:sus2
170,15.7896,"[10, 10, 4, 4]",A#:sus2
171,15.8824,"[10, 10, 4, 4]",A#:sus2
172,15.9753,"[10, 10, 4, 4]",A#:sus2
173,16.0682,"[10, 10, 4, 4]",A#:sus2
174,16.1611,"[10, 10, 4, 4]",A#:sus2
175,16.254,"[10, 10, 4, 4]",A#:sus2
176,16.3468,"[10, 10, 4, 4]",A#:sus2
177,16.4397,"[10, 10, 4, 4]",A#:sus2
178,16.5326,"[10, 10, 4, 4]",A#:sus2
179,16.6255,"[10, 10, 4, 4]",A#:sus2
180,16.7184,"[10, 10, 4, 4]",A#:sus2
181,16.8112,"[10, 10, 4, 4]",A#:sus2
182,16.9041,"[10, 10, 4, 4]",A#:sus2
183,16.997,"[10, 10, 4, 4]",A#:sus2
184,17.0899,"[10, 10, 4, 4]",A#:sus2
185,17.1828,"[10, 10, 4, 4]",A#:sus2
186,17.2756,"[10, 10, 4, 4]",A#:sus2
187,17.3685,"[10, 10, 5, 4]",A#:sus4
188,17.4614,"[10, 10, 5, 4]",A#:sus4
189,17.5543,"[10, 10, 5, 4]",A#:sus4
190,17.6472,"[10, 10, 5, 4]",A#:sus4
191,17.74,"[10, 10, 5, 4]",A#:sus4
192,17.8329,"[10, 10, 5, 4]",A#:sus4
193,17.9258,"[10, 10, 5, 4]",A#:sus4
194,18.0187,"[10, 10, 5, 4]",A#:sus4
195,18.1116,"[10, 10, 5, 4]",A#:sus4
196,18.2044,"[10, 10, 5, 4]",A#:sus4
197,18.2973,"[10, 10, 5, 4]",A#:sus4
198,18.3902,"[10, 10, 5, 4]",A#:sus4
199,18.4831,"[10, 10, 5, 4]",A#:sus4
200,18.576,"[10, 10, 5, 4]",A#:sus4
201,18.6688,"[10, 10, 5, 4]",A#:sus4
202,18.7617,"[10, 10, 5, 4]",A#:sus4
203,18.8546,"[10, 10, 5, 4]",A#:sus4
204,18.9475,"[10, 5, 5, 4]",A#:sus4/5
205,19.0404,"[5, 5, 0, 4]",F:maj
206,19.1332,"[5, 5, 0, 4]",F:maj
207,19.2261,"[5, 5, 0, 4]",F:maj
208,19.319,"[5, 5, 0, 4]",F:maj
209,19.4119,"[5, 5, 0, 4]",F:maj
210,19.5048,"[5, 5, 0, 4]",F:maj
211,19.5976,"[5, 5, 0, 4]",F:maj
212,19.6905,"[5, 5, 0, 4]",F:maj
213,19.7834,"[5, 5, 0, 4]",F:maj
214,19.8763,"[5, 5, 0, 4]",F:maj
215,19.9692,"[5, 5, 5, 4]",F:sus4
216,20.062,"[5, 5, 5, 4]",F:sus4
217,20.1549,"[5, 5, 5, 4]",F:sus4
218,20.2478,"[5, 5, 5, 4]",F:sus4
219,20.3407,"[5, 5, 5, 4]",F:sus4
220,20.4336,"[5, 5, 5, 4]",F:sus4
221,20.5264,"[5, 5, 5, 4]",F:sus4
222,20.6193,"[5, 5, 5, 4]",F:sus4
223,20.7122,"[5, 5, 5, 4]",F:sus4
224,20.8051,"[5, 5, 5, 4]",F:sus4
225,20.898,"[5, 5, 5, 4]",F:sus4
226,20.9908,"[5, 5, 5, 4]",F:sus4
227,21.0837,"[5, 5, 5, 4]",F:sus4
228,21.1766,"[5, 5, 5, 4]",F:sus4
229,21.2695,"[5, 5, 5, 4]",F:sus4
230,21.3624,"[5, 5, 0, 4]",F:maj
231,21.4552,"[5, 5, 0, 4]",F:maj
232,21.5481,"[5, 5, 0, 4]",F:maj
233,21.641,"[5, 5, 0, 4]",F:maj
234,21.7339,"[5, 5, 0, 4]",F:maj
235,21.8268,"[5, 5, 0, 4]",F:maj
236,21.9196,"[5, 5, 0, 4]",F:maj
237,22.0125,"[5, 5, 0, 4]",F:maj
238,22.1054,"[5, 5, 0, 4]",F:maj
239,22.1983,"[5, 5, 0, 4]",F:maj
240,22.2912,"[5, 5, 0, 4]",F:maj
241,22.384,"[5, 5, 0, 4]",F:maj
242,22.4769,"[5, 5, 0, 4]",F:maj
243,22.5698,"[5, 5, 0, 4]",F:maj
244,22.6627,"[5, 5, 0, 4]",F:maj
245,22.7556,"[5, 5, 0, 4]",F:maj
246,22.8484,"[5, 5, 0, 4]",F:maj
247,22.9413,"[5, 5, 0, 4]",F:maj
248,23.0342,"[5, 5, 0, 4]",F:maj
